SKUs;qty;EcoTaxe;AMZ_BE;AMZ_BE_PrixPromo;AMZ_BE_DateDebut;AMZ_BE_DateFin;AMZ_DE;AMZ_DE_PrixPromo;AMZ_DE_DateDebut;AMZ_DE_DateFin;AMZ_ES;AMZ_ES_PrixPromo;AMZ_ES_DateDebut;AMZ_ES_DateFin;AMZ_FR;AMZ_FR_PrixPromo;AMZ_FR_DateDebut;AMZ_FR_DateFin;AMZ_IT;AMZ_IT_PrixPromo;AMZ_IT_DateDebut;AMZ_IT_DateFin;AMZ_Prime;AMZ_Prime_PrixPromo;AMZ_Prime_DateDebut;AMZ_Prime_DateFin;Cdiscount;Cdiscount_PrixPromo;Cdiscount_DateDebut;Cdiscount_DateFin;Cdiscount_FF;Cdiscount_FF_PrixPromo;Cdiscount_FF_DateDebut;Cdiscount_FF_DateFin;LeroyMerlin;LeroyMerlin_PrixPromo;LeroyMerlin_DateDebut;LeroyMerlin_DateFin;LeroyMerlin_FF;LeroyMerlin_FF_PrixPromo;LeroyMerlin_FF_DateDebut;LeroyMerlin_FF_DateFin;Mano_DE;Mano_DE_PrixPromo;Mano_DE_DateDebut;Mano_DE_DateFin;Mano_DE_FF;Mano_DE_FF_PrixPromo;Mano_DE_FF_DateDebut;Mano_DE_FF_DateFin;Mano_ES;Mano_ES_PrixPromo;Mano_ES_DateDebut;Mano_ES_DateFin;Mano_ES_FF;Mano_ES_FF_PrixPromo;Mano_ES_FF_DateDebut;Mano_ES_FF_DateFin;Mano_FR;Mano_FR_PrixPromo;Mano_FR_DateDebut;Mano_FR_DateFin;Mano_FR_FF;Mano_FR_FF_PrixPromo;Mano_FR_FF_DateDebut;Mano_FR_FF_DateFin;Mano_IT;Mano_IT_PrixPromo;Mano_IT_DateDebut;Mano_IT_DateFin;Mano_IT_FF;Mano_IT_FF_PrixPromo;Mano_IT_FF_DateDebut;Mano_IT_FF_DateFin;Mano_Pro;Mano_Pro_PrixPromo;Mano_Pro_DateDebut;Mano_Pro_DateFin;Mano_Pro_FF;Mano_Pro_FF_PrixPromo;Mano_Pro_FF_DateDebut;Mano_Pro_FF_DateFin;Autres;Autres_PrixPromo;Autres_DateDebut;Autres_DateFin;PxReference;Mano_Qte_1;Mano_Rmz_Qte_1;Mano_Qte_2;Mano_Rmz_Qte_2;Mano_Qte_3;Mano_Rmz_Qte_3;Cdiscount_CategoryCode;Cdiscount_Frais_BigParcelEco
40;8;0;23.99;0;;;23.99;0;;;23.99;0;;;23.99;0;;;23.99;0;;;31.66;0;;;23.99;0;;;0;0;;;23.99;0;;;23.99;0;;;23.99;0;;;0;0;;;23.99;0;;;0;0;;;23.99;0;;;0;0;;;23.99;0;;;0;0;;;23.27;0;;;0;0;;;23.99;0;;;26.87;0;0;0;0;0;0;0S080D01;
42;18;0;33.99;0;;;33.99;0;;;33.99;0;;;33.99;0;;;33.99;0;;;42.19;0;;;33.99;0;;;0;0;;;33.99;0;;;33.99;0;;;33.99;0;;;0;0;;;33.99;0;;;0;0;;;33.99;0;;;0;0;;;33.99;0;;;0;0;;;32.97;0;;;0;0;;;33.99;0;;;38.06;0;0;0;0;0;0;0S080D01;
44;15;0;48.99;0;;;48.99;0;;;48.99;0;;;48.99;0;;;48.99;0;;;58.84;0;;;48.99;0;;;0;0;;;48.99;0;;;48.99;0;;;48.99;0;;;0;0;;;48.99;0;;;0;0;;;48.99;0;;;0;0;;;48.99;0;;;0;0;;;47.52;0;;;0;0;;;48.99;0;;;54.86;0;0;0;0;0;0;0S080D01;
54;15;0;5.69;0;;;5.69;0;;;5.69;0;;;5.69;0;;;5.69;0;;;13.36;0;;;5.69;0;;;0;0;;;5.69;0;;;5.69;0;;;5.69;0;;;0;0;;;5.69;0;;;0;0;;;5.69;0;;;0;0;;;5.69;0;;;0;0;;;5.52;0;;;0;0;;;5.69;0;;;6.37;0;0;0;0;0;0;0D020101;
65;15;0.07;29.99;0;;;29.99;0;;;29.99;0;;;29.99;0;;;29.99;0;;;38.19;0;;;29.99;0;;;0;0;;;29.99;0;;;29.99;0;;;29.99;0;;;0;0;;;29.99;0;;;0;0;;;29.99;0;;;0;0;;;29.99;0;;;0;0;;;29.09;0;;;0;0;;;29.99;0;;;33.59;0;0;0;0;0;0;0S030301;
76;0;1.32;20.99;0;;;20.99;0;;;20.99;0;;;20.99;0;;;20.99;0;;;28.66;0;;;20.99;0;;;0;0;;;20.99;0;;;20.99;0;;;20.99;0;;;0;0;;;20.99;0;;;0;0;;;20.99;0;;;0;0;;;20.99;0;;;0;0;;;20.36;0;;;0;0;;;20.99;0;;;23.51;0;0;0;0;0;0;0S050C01;
95;70;0;6.59;0;;;6.59;0;;;6.59;0;;;6.59;0;;;6.59;0;;;14.26;0;;;6.59;0;;;0;0;;;6.59;0;;;6.59;0;;;6.59;0;;;0;0;;;6.59;0;;;0;0;;;6.59;0;;;0;0;;;6.59;0;;;0;0;;;6.39;0;;;0;0;;;6.59;0;;;7.38;0;0;0;0;0;0;0U0L0201;
104;62;0;13.59;0;;;13.59;0;;;13.59;0;;;13.59;0;;;13.59;0;;;21.26;0;;;13.59;0;;;0;0;;;13.59;0;;;13.59;0;;;13.59;0;;;17.99;0;;;13.59;0;;;17.99;0;;;13.59;0;;;17.99;0;;;13.59;0;;;17.99;0;;;13.18;0;;;17.45;0;;;13.59;0;;;15.22;0;0;0;0;0;0;0U0L0201;
137;44;0;3.5;0;;;3.5;0;;;3.5;0;;;3.5;0;;;3.5;0;;;11.17;0;;;3.5;0;;;0;0;;;3.5;0;;;3.5;0;;;3.5;0;;;0;0;;;3.5;0;;;0;0;;;3.5;0;;;0;0;;;3.5;0;;;0;0;;;3.4;0;;;0;0;;;3.5;0;;;3.92;0;0;0;0;0;0;160A0101;
144;48;0;4.99;0;;;4.99;0;;;4.99;0;;;4.99;0;;;4.99;0;;;12.66;0;;;4.99;0;;;0;0;;;4.99;0;;;4.99;0;;;4.99;0;;;0;0;;;4.99;0;;;0;0;;;4.99;0;;;0;0;;;4.99;0;;;0;0;;;4.84;0;;;0;0;;;4.99;0;;;5.59;0;0;0;0;0;0;0D081N01;
